Makanan atau Minuman,Gula,Kalori,Serving Size
Nasi Uduk,1.83 gram,260 kkal,160 gram
Bubur Ayam,0.19 gram,372 kkal,240 gram
Ayam Geprek,2.34 gram,789 kkal,300 gram
Nasi Goreng,1.13 gram,250 kkal,149 gram
Bakso Daging Sapi,1.63 gram,218 kkal,108 gram
Soto Mie,1.56 gram,370 kkal,300 gram
Es Teh Manis,17.15 gram,68 kkal,178 gram
Es Jeruk peras,15.62 gram,84 kkal,186 gram
Es kelapa muda,23.98 gram,113 kkal,240 gram
Es Kopi,6.54 gram,30 kkal,30 gram
Spaghetti,0.78 gram,220 kkal,140 gram
Nasi Goreng Ayam,1.04 gram,247 kkal,149 gram
Makaroni Keju,8.72 gram,493 kkal,243 gram
Kue Bolu Coklat ,26.37 gram,196 kkal,66 gram
Mie Kocok,2.65 gram,388 kal,240 gram
Pizza Keju,6.12 gram,475 kkal,172 gram
Kari Ayam,3.66 gram,219 kkal,177 gram
Sup Ayam,0.27 gram,75 kkal,241 gram
Susu Coklat,24.02 gram,190 kkal,250 gram
Jus Apel,20.27 gram,87 kkal,186 gram
Ramen Ayam,2.00 gram,280 kkal,63 gram
Belgian Waffle,13.00 gram,220 kkal,65 gram
Mie Goreng,6.00 gram,390 kkal,85 gram
Donat (Glazed),13.00 gram,240 kkal,60 gram
Es Krim Strawberry,14.71 gram,125 kkal,103 gram
Kentang Goreng,0.33 gram,156 kkal,89 gram
Burger,6.70 gram,272 kkal,112 gram
Nugget Ayam,0.25 gram,43 kkal,19 gram
Telur Goreng,0.38 gram,89 kkal,50 gram
Jus Jeruk,21.00 gram,110 kkal,240 gram
Risol Mayo,0.74 gram,329 kkal,120 gram
Risol Bihun,1.24 gram,187 kkal,120 gram
Soto Ayam ,0.98 gram,312 kkal,241 gram
Nasi Merah,0.35 gram,110 kkal,100 gram
Kerupuk Udang,0.12 gram,151 kkal,28 gram
Perkedel Kentang,0.13 gram ,107 kkal,75 gram
Telur Rebus,0.56 gram,77 kkal,50 gram
Kue Apem,5.43 gram,171 kkal,90 gram
Ayam (Dilapisi Tepung Roti dan Digoreng),0.88 gram,190 kkal,100 gram
Martabak Keju,2.09 gram,204 kkal,80 gram
Kue Cubit ,9.34 gram,141 kkal,60 gram
Es Podeng,17.77 gram,188 kkal,125 gram
Es Doger,17.59 gram,341 kkal,240 gram
Es Teler,44.98 gram,425 kkal,240 gram
Es Loli ,4.81 gram,27 kkal,35 gram
Brownies,12.50 gram,129 kkal,34 gram
Bakpia,5.62 gram,149 kkal,50 gram
Keripik Kentang,1.15 gram,153 kkal,28 gram
Empal Gentong ,2.23 gram,415 kkal,250 gram
Serabi,4.35 gram,323 kkal,150 gram
Klepon,20.00 gram,120 kkal,50 gram
Dadar Gulung (2 lapis),7.00 gram,200 kkal,100 gram
Nagasari,15.00 gram,250 kkal,100 gram
Kue Lumpur,15.00 gram,100 kkal,50 gram
Lapis Legit (1 potong),20.00 gram,350 kkal,100 gram
Es Dawet,10.00 gram,200 kkal,250 gram
Sop Buah,15.00 gram,250 kkal,250 gram
Cendol,10.00 gram,200 kkal,250 gram
Es Kacang Merah,15.00 gram,150 kkal,250 gram
Es Campur,15.00 gram,300 kkal,250 gram
Rendang,3.14 gram,468 kkal,240 gram
Gado-gado,4.43 gram,318 kkal,241 gram
Siomay,0.19 gram,103 kkal,75 gram
Dimsum,0.48 gram,94 kkal,84 gram
Sate Ayam,0.89 gram,101 kkal,45 gram
Mie Ayam,1.32 gram,421 kkal,240 gram
Es Krim Coklat,33.73 gram,143 kkal,66 gram
Es Semangka,12.00 gram,50 kkal,14 gram
Nasi Padang,17.76 gram,664 kkal,380 gram
Pempek,11.18 gram,234 kkal,120 gram
Pecel Lele,9.67 gram,292 kkal,150 gram
Rawon,1.07 gram,288 kkal,241 gram
Ikan Gurame Asam Manis,2.79 gram,261 kkal,135 gram
Cilok,2.91 gram,319 kkal,120 gram
Kopi Latte,13.55 gram,135 kkal,408 gram
Soda,33.76 gram,140 kkal,369 gram
Cumi Goreng,0.56 gram,106 kkal,85 gram
Ikan Bandeng Goreng,0.31 gram,349 kkal,150 gram
Udang Goreng,0.77 gram,244 kkal,85 gram
Udang Lapis Tepung ,3.00 gram,150 kkal,100 gram
Gelato,31.62 gram,124 kkal,97 gram
Perkedel Jagung,1.15 gram,91 kkal,35 gram
Tahu Isi,1.68 gram,134 kkal,120 gram
Milk Shake,49.01 gram,382 kkal,283 gram
Teh Tarik,20.89 gram,124 kkal,250 gram
Puding Coklat,20.17 gram,157 kkal,112 gram
Pisang Goreng Madu,28.78 gram,215 kkal,120 gram
Roti isi Coklat,13.00 gram,280 kkal,100 gram
Es Krim Vanila,10.00 gram,120 kkal,100 gram
Lumpia Basah,0.47 gram,80 kkal,64 gram
Tempe Orek,5.13 gram,175 kkal,100 gram
Tuna Salad Sandwich,6.19 gram,287 kkal,157 gram
Sandwich Keju,3.59 gram,261 kkal,83 gram
Tumis Kangkung,3.00 gram,150 kkal,200 gram
Salmon Panggang,0.17 gram,250 kkal,150 gram
Sup Sayur Ayam,3.00 gram,200 kkal,300 gram
Salad Buah,10.00 gram,150 kkal,200 gram
Oatmeal Ubi Jalar,5.00 gram,200 kkal,250 gram
Telur Dadar Sayur,2.00 gram,200 kkal,200 gram
Tumis Tahu,2.00 gram,180 kkal,250 gram
Greek Yoghurt dengan Buah & Granola,15.00 gram,300 kkal,250 gram
Jus Alpukat,12.96 gram,195 kkal,150 gram
Cappucino,6.41 gram,74 kkal,249 gram
Teh Tanpa Gula,0.00 gram,0 kkal,250 gram
Air Putih,0.00 gram,0 kkal,250 gram
Mochi,7.12 gram,224 kkal,70 gram
Kopi Americano,0.00 gram,15 kkal,473 gram
Chicken Katsu,2.00 gram ,240 kkal,100 gram
Lasagna,2.72 gram,163 kkal,100 gram
Nasi Hainan,2.00 gram,50 kkal,14.5 gram
